,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
521,25,3,1.00,108.4,0,7,2016
522,25,3,1.00,119.1,0,8,2016
523,25,3,1.00,115.0,0,9,2016
524,25,3,1.00,120.0,0,10,2016
525,25,3,1.00,119.4,0,11,2016
526,25,3,1.00,116.7,0,12,2016
527,25,3,1.00,104.5,0,13,2016
528,25,3,1.00,98.8,0,14,2016
529,25,3,1.00,91.6,0,15,2016
530,25,3,1.00,95.0,0,16,2016
531,25,3,1.00,92.1,0,17,2016
532,25,3,1.00,93.0,0,18,2016
533,25,3,1.00,99.3,0,19,2016
534,25,3,1.00,103.3,0,20,2016
535,25,3,1.00,103.5,0,21,2016
536,25,3,1.00,106.1,0,22,2016
537,25,3,1.00,101.2,0,23,2016
538,26,3,1.00,89.0,0,0,2016
539,26,3,1.00,78.2,0,1,2016
540,26,3,1.00,68.7,0,2,2016
541,26,3,1.00,64.6,0,3,2016
542,26,3,1.00,65.6,0,4,2016
543,26,3,1.00,66.1,0,5,2016
544,26,3,1.00,66.7,0,6,2016
545,26,3,0.00,76.5,0,7,2016
546,26,3,0.00,79.5,0,8,2016
547,26,3,0.00,80.7,0,9,2016
548,26,3,0.00,81.1,0,10,2016
549,26,3,0.00,81.3,0,11,2016
550,26,3,0.00,79.1,0,12,2016
551,26,3,0.00,75.4,0,13,2016
552,26,3,0.00,73.7,0,14,2016
553,26,3,0.00,74.3,0,15,2016
554,26,3,0.00,74.1,0,16,2016
555,26,3,0.00,79.5,0,17,2016
556,26,3,0.00,85.4,0,18,2016
557,26,3,0.00,87.3,0,19,2016
558,26,3,1.00,100.5,0,20,2016
559,26,3,1.00,104.9,0,21,2016
560,26,3,1.00,103.4,0,22,2016
561,26,3,1.00,78.5,0,23,2016
562,27,3,1.00,69.0,0,0,2016
563,27,3,1.00,61.5,0,1,2016
564,27,3,1.00,60.5,0,2,2016
565,27,3,1.00,67.0,0,3,2016
566,27,3,0.00,69.4,0,4,2016
567,27,3,0.00,67.6,0,5,2016
568,27,3,1.00,70.6,0,6,2016
569,27,3,1.00,69.2,0,7,2016
570,27,3,1.00,70.9,0,8,2016
571,27,3,1.00,67.8,0,9,2016
572,27,3,0.00,63.1,0,10,2016
573,27,3,0.00,59.5,0,11,2016
574,27,3,0.00,61.9,0,12,2016
575,27,3,0.00,62.0,0,13,2016
576,27,3,0.00,55.7,0,14,2016
577,27,3,0.00,58.7,0,15,2016
578,27,3,0.00,59.4,0,16,2016
579,27,3,0.00,62.5,0,17,2016
580,27,3,0.00,62.9,0,18,2016
581,27,3,1.00,68.3,0,19,2016
582,27,3,1.00,84.3,0,20,2016
583,27,3,1.00,94.7,0,21,2016
584,27,3,1.00,98.8,0,22,2016
585,27,3,1.00,94.6,0,23,2016
586,28,3,1.00,56.5,0,0,2016
587,28,3,1.00,52.0,0,1,2016
588,28,3,1.00,39.9,0,3,2016
589,28,3,0.00,42.9,0,4,2016
590,28,3,1.00,42.8,0,5,2016
591,28,3,1.00,44.1,0,6,2016
592,28,3,1.00,45.2,0,7,2016
593,28,3,1.00,51.8,0,8,2016
594,28,3,0.00,65.7,0,9,2016
595,28,3,0.00,59.7,0,10,2016
596,28,3,0.00,58.6,0,11,2016
597,28,3,0.00,59.1,0,12,2016
598,28,3,0.00,64.6,0,13,2016
599,28,3,0.00,59.0,0,14,2016
600,28,3,0.00,55.1,0,15,2016
601,28,3,0.00,61.1,0,16,2016
602,28,3,0.00,64.0,0,18,2016
