Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
1,4,1.00,71.6,0,13,2016
1,4,1.00,78.9,0,14,2016
1,4,1.00,96.5,0,15,2016
1,4,1.00,110.8,0,16,2016
1,4,1.00,121.3,0,17,2016
1,4,1.00,129.6,0,18,2016
1,4,1.00,134.8,0,19,2016
1,4,1.00,135.4,0,20,2016
1,4,1.00,153.4,0,21,2016
1,4,1.00,90.6,0,22,2016
1,4,1.00,83.3,0,23,2016
2,4,1.00,138.9,0,0,2016
2,4,1.00,72.0,0,1,2016
2,4,1.00,67.1,0,2,2016
2,4,1.00,65.9,0,3,2016
2,4,1.00,59.5,0,4,2016
2,4,1.00,59.2,0,5,2016
2,4,1.00,50.0,0,6,2016
2,4,1.00,50.5,0,7,2016
2,4,1.00,58.1,0,8,2016
2,4,1.00,55.2,0,9,2016
2,4,1.00,63.4,0,10,2016
2,4,1.00,59.3,0,11,2016
2,4,1.00,67.5,0,12,2016
2,4,1.00,64.5,0,13,2016
2,4,1.00,65.2,0,14,2016
2,4,1.00,81.7,0,15,2016
2,4,1.00,73.7,0,16,2016
2,4,1.00,72.4,0,17,2016
2,4,1.00,79.4,0,18,2016
2,4,1.00,82.1,0,19,2016
2,4,1.00,118.5,0,20,2016
2,4,1.00,131.2,0,21,2016
2,4,1.00,107.8,0,22,2016
2,4,1.00,107.7,0,23,2016
3,4,1.00,68.5,0,0,2016
3,4,1.00,83.9,0,1,2016
