Date,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year,latitude,longitude
2016-03-15,15,3,1.00,43.2,0,12,2016,18.7904,98.9847
2016-03-15,15,3,1.00,45.4,0,13,2016,18.7904,98.9847
2016-03-15,15,3,1.00,45.3,0,14,2016,18.7904,98.9847
2016-03-15,15,3,1.00,46.6,0,15,2016,18.7904,98.9847
2016-03-15,15,3,1.00,46.3,0,16,2016,18.7904,98.9847
2016-03-15,15,3,1.00,48.5,0,17,2016,18.7904,98.9847
2016-03-15,15,3,1.00,64.3,0,18,2016,18.7904,98.9847
2016-03-15,15,3,1.00,67.0,0,19,2016,18.7904,98.9847
2016-03-15,15,3,1.00,64.5,0,20,2016,18.7904,98.9847
2016-03-15,15,3,1.00,67.6,0,21,2016,18.7904,98.9847
2016-03-15,15,3,1.00,61.7,0,22,2016,18.7904,98.9847
2016-03-15,15,3,1.00,30.5,0,23,2016,18.7904,98.9847
2016-03-16,16,3,1.00,48.1,0,0,2016,18.7904,98.9847
2016-03-16,16,3,1.00,44.5,0,1,2016,18.7904,98.9847
2016-03-16,16,3,1.00,39.7,0,2,2016,18.7904,98.9847
2016-03-16,16,3,1.00,36.0,0,5,2016,18.7904,98.9847
2016-03-16,16,3,1.00,46.8,0,6,2016,18.7904,98.9847
2016-03-16,16,3,1.00,47.9,0,7,2016,18.7904,98.9847
2016-03-16,16,3,1.00,49.9,0,8,2016,18.7904,98.9847
2016-03-16,16,3,1.00,54.3,0,9,2016,18.7904,98.9847
2016-03-16,16,3,1.00,55.0,0,10,2016,18.7904,98.9847
2016-03-16,16,3,1.00,55.9,0,11,2016,18.7904,98.9847
2016-03-16,16,3,1.00,52.4,0,12,2016,18.7904,98.9847
2016-03-16,16,3,1.00,50.4,0,13,2016,18.7904,98.9847
2016-03-16,16,3,1.00,46.9,0,14,2016,18.7904,98.9847
2016-03-16,16,3,1.00,44.9,0,15,2016,18.7904,98.9847
